"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J39,J40,J41,J42,J43,J44";"PinHeader_2x04_P2.54mm_Vertical";6;"Conn_02x04_Odd_Even";;;
2;"U14,U15,U16";"SOIC-16W_7.5x10.3mm_P1.27mm";3;"ISO7341c";;;
3;"C116,C117,C118,C119,C120,C121,C91,C89,C40,C32,C34,C36,C28,C35,C22,C30,C24,C41,C76,C78,C83,C82,C77,C74,C70,C72,C66,C64,C56,C62,C55,C49,C57,C51,C45,C61,C43,C53,C1,C3,C7,C20,C19,C15,C14,C13,C11,C9,C93,C97,C98,C99,C102,C103,C105,C106,C107,C104,C95,C94,C108,C101,C111,C112,C114";"C_0402_1005Metric";65;"100n";;;
4;"J22,J21,J31,J34,J38";"PinHeader_1x04_P2.54mm_Vertical";5;"Conn_01x04";;;
5;"T1";"SMT Power Transformer";1;"da2303";;;
6;"J17,J30,J29,J19,J20,J18,J32,J33";"PinHeader_1x03_P2.54mm_Vertical";8;"Conn_01x03";;;
7;"U2,U1,U4,U3";"QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm_ThermalVias";4;"AD7779";;;
8;"J16,J5,J6,J7,J8,J15,J14,J13,J11,J9,J10,J12,J1,J2,J3,J4";"PinHeader_2x08_P2.54mm_Vertical";16;"Conn_02x08_Odd_Even";;;
9;"C58,C33,C31,C42,C29,C23,C37,C25,C73,C79,C67,C71,C65,C84,C75,C52,C44,C46,C63,C50,C54,C10,C12,C2,C4,C8,C21,C16";"C_0402_1005Metric";28;"1u";;;
10;"C92,C113,C115";"C_0603_1608Metric";3;"10u";;;
11;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADR4525";;;
12;"C90";"C_0805_2012Metric";1;"22u";;;
13;"C110,C109,C87,C88,C85,C86";"C_0603_1608Metric";6;"2.2u";;;
14;"U10,U6,U5";"SOT-23-5";3;"LP5907";;;
15;"J23,J24,J35,J36";"PinHeader_1x02_P2.54mm_Vertical";4;"Conn_01x02";;;
16;"J28,J27,J26,J25";"PinHeader_2x18_P2.54mm_Vertical";4;"Conn_02x18_Odd_Even";;;
17;"C38,C26,C80,C68,C47,C59,C5,C17,C100,C96";"C_0603_1608Metric";10;"100n";;;
18;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_Pad";20;"MountingHole_2.2mm_M2_Pad";;;
19;"C39,C27,C69,C81,C48,C60,C6,C18";"C_0603_1608Metric";8;"1u";;;
20;"U8";"Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering";1;"FXO-SM7_OSC-SMD7050_short";;;
21;"U9";"LQFP-144_20x20mm_P0.5mm";1;"STM32F765ZITx";;;
22;"D1,D2";"SOD−123";2;"D_Schottky";;;
23;"U11";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"LSM6DS3";;;
24;"U12";"SOT-23-6_Handsoldering";1;"SN6505A";;;
25;"J37";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
26;"U13";"473521001";1;"473521001";;;
